// Hoe text model file	1.00
// Gejza'x	
// "Studna_exp.max" - Wed Sep 21 00:50:08 2005

// Mat: Standard
Material m_Studna
	Texture = "studna"
~Material

Stream s_Studna[xyz|normal|tex2]
	-0.451853, -1.392981, 2.652348;	-0.279242, -0.727403, 0.626825;	 0.329115, 0.292412
	-0.451853, -1.392981, 2.652348;	-0.279242, -0.727403, 0.626825;	 0.010000, 0.593309
	-0.451853, -1.392981, 2.652348;	-0.279242, -0.727403, 0.626825;	 0.301158, 0.364919
	0.825942, 5.562155, 3.045717;	0.121209, 0.619958, 0.775217;	 0.468225, 0.317969
	0.825942, 5.562155, 3.045717;	0.121209, 0.619958, 0.775217;	 0.476167, 0.437822
	0.825942, 5.562155, 3.045717;	0.121209, 0.619958, 0.775217;	 0.010000, 0.389984
	-1.801754, 5.725307, 2.167026;	-0.510515, 0.604259, 0.611756;	 0.471488, 0.265412
	-1.801754, 5.725307, 2.167026;	-0.510515, 0.604259, 0.611756;	 0.152373, 0.583602
	-1.801754, 5.725307, 2.167026;	-0.510515, 0.604259, 0.611756;	 0.027575, 0.337428
	1.957520, 5.539887, 1.601822;	-0.265958, 0.830586, -0.489278;	 0.474453, 0.557061
	1.957520, 5.539887, 1.601822;	-0.265958, 0.830586, -0.489278;	 0.150372, 0.290631
	1.957520, 5.539887, 1.601822;	-0.265958, 0.830586, -0.489278;	 0.038879, 0.412617
	2.310258, -1.478372, 1.307940;	-0.481181, -0.819298, -0.311795;	 0.334081, 0.550006
	2.310258, -1.478372, 1.307940;	-0.481181, -0.819298, -0.311795;	 0.010000, 0.284753
	2.310258, -1.478372, 1.307940;	-0.481181, -0.819298, -0.311795;	 0.274269, 0.420164
	0.210511, -1.390699, 1.970119;	0.094484, -0.605887, -0.789920;	 0.335834, 0.592003
	0.210511, -1.390699, 1.970119;	0.094484, -0.605887, -0.789920;	 0.166017, 0.188994
	0.210511, -1.390699, 1.970119;	0.094484, -0.605887, -0.789920;	 0.287513, 0.378167
	0.145214, 5.618358, 2.065894;	0.112009, 0.861452, -0.495333;	 0.476022, 0.593309
	0.145214, 5.618358, 2.065894;	0.112009, 0.861452, -0.495333;	 0.306205, 0.187079
	0.145214, 5.618358, 2.065894;	0.112009, 0.861452, -0.495333;	 0.029597, 0.376369
	-1.287998, 5.842160, -3.929823;	-0.304287, 0.750713, -0.586378;	 0.154710, 0.461659
	-1.287998, 5.842160, -3.929823;	-0.304287, 0.750713, -0.586378;	 0.149518, 0.347703
	-1.287998, 5.842160, -3.929823;	-0.304287, 0.750713, -0.586378;	 0.319158, 0.581010
	-1.902900, -1.125945, -4.032912;	-0.246507, -0.715629, -0.653536;	 0.015341, 0.459597
